0     aatrox               a               b                                        c                    d
1     abandon              temp_word_type  từ bỏ; bỏ rơi, ruồng bỏ                  temp_pronunciation   temp_word_example
2     abode                temp_word_type  nơi ở, sự lưu trú                        temp_pronunciation   temp_word_example
3     abort                temp_word_type  sẩy thai, làm sẩy thai, phá thai bỏ dở   temp_pronunciation   temp_word_example
4     abortion             temp_word_type  sự sẩy thai, sự phá thai; sự nạo thai    temp_pronunciation   temp_word_example
5     abroad               temp_word_type  ở nước ngoài, ra nước ngoài              temp_pronunciation   temp_word_example
6     absent               temp_word_type  vắng mặt, đi nghỉ                        temp_pronunciation   temp_word_example
7     abstraction          temp_word_type  sự trừu tượng, cái nhìn trừu tượng       temp_pronunciation   temp_word_example
8     absurd               temp_word_type  vô lý, ngu xuẩn, ngớ ngẩn                temp_pronunciation   temp_word_example
9     abuse                temp_word_type  sự lạm dụng                              temp_pronunciation   temp_word_example
10    academic             temp_word_type  (thuộc) học viện; (thuộc) trường đại học temp_pronunciation   temp_word_example
11    academy              temp_word_type  học viện                                 temp_pronunciation   temp_word_example
12    access               temp_word_type  lối vào, cửa vào, đường vào              temp_pronunciation   temp_word_example
13    accomplish           temp_word_type  hoàn thành, làm xong, đạt được (mục tiêu...) temp_pronunciation   temp_word_example
14    accord               temp_word_type  phù hợp, hòa hợp                         temp_pronunciation   temp_word_example
15    account              temp_word_type  sự tính toán, tính toán                  temp_pronunciation   temp_word_example
16    accountant           temp_word_type  nhân viên kế toán, người giữ sổ sách kế toán temp_pronunciation   temp_word_example
17    accurate             temp_word_type  đúng đắn, chính xác, xác đáng            temp_pronunciation   temp_word_example
18    accuse               temp_word_type  buộc tội, kết tội, tố cáo                temp_pronunciation   temp_word_example
19    accused              temp_word_type  bị cáo                                   temp_pronunciation   temp_word_example
20    achieve              temp_word_type  đạt được, giành được                     temp_pronunciation   temp_word_example
21    acid                 temp_word_type  (hoá học) axit, chua                     temp_pronunciation   temp_word_example
22    acknowledge          temp_word_type  nhận, thừa nhận, công nhận               temp_pronunciation   temp_word_example
23    acquit               temp_word_type  tha tội, tuyên bố trắng án               temp_pronunciation   temp_word_example
24    active               temp_word_type  tích cực, nhanh nhẹn, lanh lợi           temp_pronunciation   temp_word_example
25    activity             temp_word_type  sự tích cực, hoạt động                   temp_pronunciation   temp_word_example
26    adamant              temp_word_type  kỷ cương; cứng rắn                       temp_pronunciation   temp_word_example
27    add                  temp_word_type  thêm vào, làm tăng thêm                  temp_pronunciation   temp_word_example
28    address              temp_word_type  địa chỉ                                  temp_pronunciation   temp_word_example
29    adequate             temp_word_type  đủ, đầy đủ, tương xứng, xứng đáng        temp_pronunciation   temp_word_example
30    adjust               temp_word_type  sửa lại cho đúng, điều chỉnh             temp_pronunciation   temp_word_example
31    administration       temp_word_type  sự trông nom, sự quản lý; sự cai quản, sự cai trị temp_pronunciation   temp_word_example
32    admit                temp_word_type  nhận vào, thừa nhận, thú nhận            temp_pronunciation   temp_word_example
33    adopt                temp_word_type  nhận làm con nuôi                        temp_pronunciation   temp_word_example
34    adore                temp_word_type  ngưỡng vọng, kính yêu                    temp_pronunciation   temp_word_example
35    adroit               temp_word_type  khéo léo, khéo tay                       temp_pronunciation   temp_word_example
36    adult                temp_word_type  người lớn, trưởng thành                  temp_pronunciation   temp_word_example
37    adversity            temp_word_type  sự bất hạnh, nghịch cảnh                 temp_pronunciation   temp_word_example
38    affect               temp_word_type  làm ảnh hưởng đến, làm tác động đến; chạm đến temp_pronunciation   temp_word_example
39    affection            temp_word_type  sự làm ảnh hưởng đến, sự làm tác động đến temp_pronunciation   temp_word_example
40    affectionate         temp_word_type  thương yêu, trìu mến                     temp_pronunciation   temp_word_example
41    afford               temp_word_type  kính yêu, kính mến                       temp_pronunciation   temp_word_example
42    agency               temp_word_type  tác dụng, lực                            temp_pronunciation   temp_word_example
43    agenda               temp_word_type  những việc phải làm                      temp_pronunciation   temp_word_example
44    aggressive           temp_word_type  hay gây hấn, hung hãn, hung hăng         temp_pronunciation   temp_word_example
45    agility              temp_word_type  sự nhanh nhẹn, lanh lợi                  temp_pronunciation   temp_word_example
46    agitate              temp_word_type  khích động, làm xúc động                 temp_pronunciation   temp_word_example
47    agree                temp_word_type  đồng ý, chấp thuận                       temp_pronunciation   temp_word_example
